East Coast Enduro Association,,,,Report Generated: 3/24/2026 1:21:54 PM,,,,
Round 3 - 3/22/2026 - Sandy Lane Enduro,,,,,,,,
Team Enduro Results,,,,,,,,
Row,Rider Name,Bike,Class,,Place (in Class),#Chks,Points,EPoints
53A,MICHAEL SHERIDAN,HUS,C SR 40+,,4,12,67,1391
42B,MATTHEW CONNER,HUS,B VET 30+,,23,7,54,683
DNF,SPER - FASTBOYZ I,,,,Totals:,51,DNF,3009
22A,ZACH MILLER,YAM,AA,,5,12,29,510
15B,NATHAN JOSEPH,KTM,A VET 30+,,6,12,33,620
14A,LOGAN SMITH,TRI,A VET 30+,,7,12,35,658
14C,TIMOTHY SPRENKLE,KTM,B VET 30+,,3,12,40,803
14B,GRAHAM SMITH,KTM,A SR 40+,,11,3,7,418
DNF,DER - IV,,,,Totals:,50,DNF,5454
62B,ROBERT KRAUSE,BET,B 200,,2,12,48,1034
62D,GREGORY CURLETT,KTM,B VET 30+,,14,12,57,1195
43C,ZACHARY CHADICK,YAM,C 250,,2,12,64,1425
43B,NICK CHADICK,KTM,B SR 45+,,9,12,85,1800
38B,GEORGE POTTS,KTM,GOLDEN,,4,2,2,0
DNF,OCCR - SPARE PARTS,,,,Totals:,50,DNF,10497
29E,ERIC JACOBSON,BET,B SSR 50+,,6,12,65,1292
38D,DAVID BYE,KTM,MASTERS B/C 60+,,4,12,124,2844
59D,LORENZO HINES,KTM,C 200,,3,12,180,3962
58A,ROBERT BIRD,BET,C SSR 50+,,14,7,78,1060
57D,PATRICIA BLAIR,BET,MASTERS B/C 60+,,9,7,110,1339
DQ,DVTR - III,,,,Totals:,48,DQ,9017
45C,DAVID SMITH,KTM,B SSR 50+,,10,12,71,1599
51B,JONATHAN HARTMAN,HUS,C 200,,1,12,81,1614
51D,CLINTON WETZEL,PIT,C SR 40+,,9,12,81,1749
52C,MORGAN JONES,KTM,C SSR 50+,,9,12,147,4055
51E,GREG GLAZAR,KTM,C SSR 50+,,9999,0,0,0
DNF,OCCR - SAND BLASTERS,,,,Totals:,47,DNF,2555
29A,RYAN CANAVAN,KTM,AA,,3,12,23,386
23D,CHRISTIAN CRUM,BET,A 250,,1,12,31,579
7A,CHRISTOPHER SMITH,KTM,A 250,,3,12,32,619
29D,JONATHAN SPAFFORD,KTM,B 251+,,12,6,22,542
58C,AARON RICCI,BET,A 251+,,14,5,45,429
DQ,CJCR - TEAM TONY,,,,Totals:,43,DQ,2900
3A,JUSTIN MCKENZIE,BET,A 250,,5,12,36,717
1D,WALTER ANDRES,BET,A SR 40+,,6,12,38,759
25E,BRANDON BOWERS,HUS,A SR 40+,,9,12,50,873
28B,EVERSON BRAGANCA,HUS,A VET 30+,,13,7,37,551
25C,JACEK SZCZACHOR,KTM,A 251+,,9999,0,0,0
DQ,DER - V,,,,Totals:,32,DQ,4555
59C,PHILIP GASPAROVIC,KTM,C VET 30+,,7,12,78,1697
60B,FRANK SINKKO,YAM,C VET 30+,,8,12,88,1811
43D,BENJAMIN JONES,HUS,C VET 30+,,14,8,78,1047

